Treatment,Site,Soleolifera
Revegetated,8,3
Revegetated,8,5
Revegetated,8,17
Revegetated,8,1
Revegetated,8,0
Revegetated,7a,0
Revegetated,7a,2
Revegetated,7a,2
Revegetated,7a,0
Revegetated,7a,0
Revegetated,7b,0
Revegetated,7b,0
Revegetated,7b,0
Revegetated,7b,0
Revegetated,3,1
Revegetated,3,1
Revegetated,3,0
Revegetated,3,1
Revegetated,3,2
Revegetated,9,1
Revegetated,9,2
Revegetated,9,9
Revegetated,9,9
Revegetated,9,4
Revegetated,14,0
Revegetated,14,0
Revegetated,14,9
Revegetated,14,3
Revegetated,14,1
Revegetated,12b,9
Revegetated,12b,10
Revegetated,12b,8
Revegetated,12b,7
Revegetated,12b,6
Revegetated,12a,4
Revegetated,12a,4
Revegetated,12a,3
Revegetated,12a,2
Revegetated,12a,4
Control,1,0
Control,1,0
Control,1,0
Control,1,0
Control,1,2
Control,2,0
Control,2,0
Control,2,1
Control,2,1
Control,2,0
Revegetated,8,4
Revegetated,8,7
Revegetated,8,19
Revegetated,8,2
Revegetated,8,0
Revegetated,7a,0
Revegetated,7a,4
Revegetated,7a,4
Revegetated,7a,0
Revegetated,7a,0
Revegetated,7b,0
Revegetated,7b,0
Revegetated,7b,0
Revegetated,7b,0
Revegetated,3,2
Revegetated,3,3
Revegetated,3,0
Revegetated,3,2
Revegetated,3,1
Revegetated,9,4
Revegetated,9,2
Revegetated,9,10
Revegetated,9,9
Revegetated,9,5
Revegetated,14,0
Revegetated,14,0
Revegetated,14,11
Revegetated,14,3
Revegetated,14,3
Revegetated,12b,9
Revegetated,12b,12
Revegetated,12b,8
Revegetated,12b,9
Revegetated,12b,6
Revegetated,12a,5
Revegetated,12a,4
Revegetated,12a,3
Revegetated,12a,1
Revegetated,12a,4
Control,1,0
Control,1,0
Control,1,0
Control,1,0
Control,1,2
Control,2,0
Control,2,0
Control,2,3
Control,2,1
Control,2,0
