garden,count
A,13
A,8
A,11
A,10
A,12
A,13
A,5
A,7
A,8
A,11
A,12
A,13
A,11
A,7
A,5
A,9
A,6
A,9
A,9
A,11
A,10
A,8
A,7
A,13
A,16
A,13
A,16
A,15
A,11
A,9
A,16
A,7
A,16
A,10
A,8
A,12
A,7
A,14
A,6
A,11
A,8
A,12
A,8
A,9
A,14
A,8
A,8
A,8
A,11
A,6
B,20
B,21
B,13
B,22
B,15
B,18
B,17
B,15
B,21
B,19
B,21
B,22
B,16
B,15
B,15
B,13
B,22
B,28
B,19
B,19
B,17
B,20
B,13
B,24
B,19
B,13
B,16
B,12
B,24
B,16
B,14
B,15
B,13
B,22
B,21
B,15
B,15
B,21
B,25
B,20
B,13
B,17
B,19
B,23
B,6
B,16
B,23
B,18
B,15
B,20
C,2
C,2
C,0
C,7
C,1
C,5
C,4
C,2
C,6
C,0
C,2
C,3
C,3
C,4
C,4
C,6
C,2
C,1
C,4
C,2
C,3
C,3
C,5
C,3
C,3
C,2
C,2
C,4
C,3
C,5
C,2
C,0
C,2
C,4
C,0
C,2
C,6
C,2
C,4
C,4
C,5
C,3
C,2
C,2
C,1
C,0
C,3
C,4
C,1
C,1
