Bird identity,"Sex 1=male, 0=female",Ageclass,BodyMass g,RightTarsus length,MalariaConsensus 1=yes,year sampled,year,wet/dry season
1152,0,FL,14.3,24.8,1,1997-07-05T00:00:00Z,97,SE monsoon
1179,1,FL,16.3,26.1,1,1997-07-11T00:00:00Z,97,SE monsoon
1169,1,A,16.8,24.7,0,1997-07-13T00:00:00Z,97,SE monsoon
1170,0,FL,14.9,24.9,1,1997-07-13T00:00:00Z,97,SE monsoon
1181,1,FL,14.9,26.7,0,1997-07-14T00:00:00Z,97,SE monsoon
1202,1,SA,17.8,26.1,1,1997-07-26T00:00:00Z,97,SE monsoon
1208,0,CH,14.6,23.6,0,1997-08-01T00:00:00Z,97,SE monsoon
1209,1,CH,15.6,25.9,1,1997-08-02T00:00:00Z,97,SE monsoon
1210,0,CH,14.9,24.1,0,1997-08-02T00:00:00Z,97,SE monsoon
1214,1,OFL,13.4,25.8,1,1997-08-03T00:00:00Z,97,SE monsoon
1225,0,SA,13.7,23.6,1,1997-08-03T00:00:00Z,97,SE monsoon
1215,1,CH,17.0,26.0,1,1997-08-07T00:00:00Z,97,SE monsoon
1234,1,FL,16.8,27.1,0,1997-08-07T00:00:00Z,97,SE monsoon
1207,0,CH,15.7,23.7,0,1997-08-09T00:00:00Z,97,SE monsoon
1237,1,CH,13.3,21.2,0,1997-08-10T00:00:00Z,97,SE monsoon
1239,0,CH,17.5,19.9,0,1997-08-10T00:00:00Z,97,SE monsoon
1216,0,OFL,14.3,24.9,1,1997-08-13T00:00:00Z,97,SE monsoon
1221,1,FL,14.8,26.4,1,1997-08-21T00:00:00Z,97,SE monsoon
1222,0,FL,13.7,24.8,1,1997-12-28T00:00:00Z,97,NW monsoon
1244,0,SA,14.0,23.2,0,1997-12-28T00:00:00Z,97,NW monsoon
1245,1,CH,13.5,27.1,0,1998-01-02T00:00:00Z,98,NW monsoon
1221,1,SA,15.7,26.4,0,1998-01-03T00:00:00Z,98,NW monsoon
1248,1,FL,15.2,26.8,1,1998-01-15T00:00:00Z,98,NW monsoon
1275,0,FL,13.8,24.6,1,1998-01-17T00:00:00Z,98,NW monsoon
1270,0,FL,13.1,23.9,1,1998-01-25T00:00:00Z,98,NW monsoon
