ID,Sex,Ageclass,BodyMass_g,Tarsus_length,Malaria,year sampled,year,wet/dry season
3574,Female,Adult,13,22.9,1,2010-02-15T00:00:00Z,2010,NW monsoon
4866,Male,Adult,16,26.3,1,2010-02-15T00:00:00Z,2010,NW monsoon
5277,Female,Juvenile,14.2,23,1,2010-02-16T00:00:00Z,2010,NW monsoon
5338,Male,Juvenile,15.5,25.2,0,2010-02-16T00:00:00Z,2010,NW monsoon
4885,Female,Adult,15.5,24.4,0,2010-02-19T00:00:00Z,2010,NW monsoon
5325,Male,Juvenile,14,25.9,1,2010-02-21T00:00:00Z,2010,NW monsoon
4861,Female,Adult,14.2,25.3,0,2010-02-23T00:00:00Z,2010,NW monsoon
5116,Male,Adult,16,25.8,1,2010-02-23T00:00:00Z,2010,NW monsoon
5324,Female,Adult,16,24.8,1,2010-02-23T00:00:00Z,2010,NW monsoon
5459,Female,Juvenile,13.5,23.4,1,2010-02-23T00:00:00Z,2010,NW monsoon
3606,Female,Adult,15,23.9,1,2010-02-24T00:00:00Z,2010,NW monsoon
5497,Male,Fledgling,14.2,26,1,2010-02-24T00:00:00Z,2010,NW monsoon
5326,Female,Juvenile,13,24.2,1,2010-03-01T00:00:00Z,2010,NW monsoon
4939,Male,Adult,16,25.6,0,2010-07-04T00:00:00Z,2010,SE monsoon
5313,Female,Juvenile,15.6,24.8,1,2010-07-04T00:00:00Z,2010,SE monsoon
3519,Male,Adult,16.3,26.8,0,2010-07-06T00:00:00Z,2010,SE monsoon
5284,Female,Adult,14.1,24.4,1,2010-07-06T00:00:00Z,2010,SE monsoon
5516,Female,Juvenile,14.9,24.9,1,2010-07-10T00:00:00Z,2010,SE monsoon
5317,Male,Juvenile,15.1,25.8,1,2010-07-11T00:00:00Z,2010,SE monsoon
5515,Male,Juvenile,16.7,26,1,2010-07-11T00:00:00Z,2010,SE monsoon
3608,Female,Adult,15.4,24.5,0,2010-07-12T00:00:00Z,2010,SE monsoon
5170,Male,Adult,17.4,26.3,0,2010-07-12T00:00:00Z,2010,SE monsoon
4941,Female,Adult,16.7,24.8,1,2010-07-14T00:00:00Z,2010,SE monsoon
5526,Male,Adult,16.2,25.9,1,2010-07-14T00:00:00Z,2010,SE monsoon
4887,Male,Adult,17.2,26.4,0,2010-07-16T00:00:00Z,2010,SE monsoon
5450,Female,Adult,15.8,24.7,1,2010-07-21T00:00:00Z,2010,SE monsoon
5237,Male,Adult,16.7,26.4,0,2010-07-23T00:00:00Z,2010,SE monsoon
5240,Male,Adult,17.5,26.3,0,2010-07-25T00:00:00Z,2010,SE monsoon
5262,Male,Adult,17.2,27.3,1,2010-07-25T00:00:00Z,2010,SE monsoon
5532,Female,Juvenile,14.8,25.1,1,2010-07-27T00:00:00Z,2010,SE monsoon
4892,Male,Adult,16.5,26,0,2010-07-28T00:00:00Z,2010,SE monsoon
4957,Male,Adult,16.4,25.5,1,2010-07-29T00:00:00Z,2010,SE monsoon
5531,Female,Adult,15.7,25.4,1,2010-07-29T00:00:00Z,2010,SE monsoon
5290,Male,Adult,16.2,26.4,0,2010-07-31T00:00:00Z,2010,SE monsoon
5336,Female,Adult,14.9,24.6,0,2010-07-31T00:00:00Z,2010,SE monsoon
3606,Female,Adult,16.9,24.4,0,2010-08-03T00:00:00Z,2010,SE monsoon
5497,Male,Adult,16.6,25.6,0,2010-08-03T00:00:00Z,2010,SE monsoon
4887,Male,Adult,16.5,26.3,0,2010-08-06T00:00:00Z,2010,SE monsoon
4958,Female,Adult,15.6,25.6,0,2010-08-06T00:00:00Z,2010,SE monsoon
5315,Female,Adult,16.4,24.9,1,2010-08-06T00:00:00Z,2010,SE monsoon
5326,Female,Adult,14.2,24.1,0,2010-08-08T00:00:00Z,2010,SE monsoon
5339,Female,Juvenile,13.8,23.3,1,2010-08-08T00:00:00Z,2010,SE monsoon
5009,Female,Adult,18.6,25,0,2010-08-10T00:00:00Z,2010,SE monsoon
5343,Male,Juvenile,15.6,25.6,1,2010-08-10T00:00:00Z,2010,SE monsoon
5453,Male,Juvenile,16.3,25.6,1,2010-08-10T00:00:00Z,2010,SE monsoon
4965,Female,Adult,16.4,24.8,0,2010-08-14T00:00:00Z,2010,SE monsoon
5123,Female,Adult,16,24.4,1,2010-08-14T00:00:00Z,2010,SE monsoon
5323,Female,Adult,16.1,23.9,1,2010-08-14T00:00:00Z,2010,SE monsoon
5197,Male,Adult,16.8,26.1,0,2010-08-16T00:00:00Z,2010,SE monsoon
4961,Female,Adult,13.9,24.7,0,2010-08-17T00:00:00Z,2010,SE monsoon
5072,Male,Adult,15.9,25.8,1,2010-08-17T00:00:00Z,2010,SE monsoon
5163,Female,Adult,14.7,24.8,0,2010-08-17T00:00:00Z,2010,SE monsoon
5539,Male,Juvenile,15.6,26,1,2010-08-17T00:00:00Z,2010,SE monsoon
5550,Male,Chick,17,26.8,0,2010-08-23T00:00:00Z,2010,SE monsoon
5551,Male,Chick,15.8,25,0,2010-08-23T00:00:00Z,2010,SE monsoon
5553,Female,Chick,16.1,24.6,0,2010-08-23T00:00:00Z,2010,SE monsoon
5554,Male,Chick,14.5,22.2,0,2010-08-24T00:00:00Z,2010,SE monsoon
5075,Female,Adult,15.8,24.5,0,2010-08-25T00:00:00Z,2010,SE monsoon
5540,Male,Chick,17.6,26.1,0,2010-08-27T00:00:00Z,2010,SE monsoon
4883,Female,Adult,14.8,24.5,1,2010-08-28T00:00:00Z,2010,SE monsoon
5456,Male,Juvenile,18.5,25.2,1,2010-08-28T00:00:00Z,2010,SE monsoon
4964,Female,Adult,15.1,24.5,0,2010-08-31T00:00:00Z,2010,SE monsoon
5462,Male,Juvenile,16.6,26.3,1,2010-09-01T00:00:00Z,2010,SE monsoon
3497,Female,Adult,15.1,24.6,0,2010-09-02T00:00:00Z,2010,SE monsoon
